Epoch seconds,Date
1769068764,2026-01-22 07:59:24,          popup zone
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
              * No content"
1769068764,2026-01-22 07:59:24,"
            Do not display again today Close"
1769068764,2026-01-22 07:59:24,"
            popup"
1769068764,2026-01-22 07:59:24,"
            eng"
1769068764,2026-01-22 07:59:24,"
                kor"
1769068764,2026-01-22 07:59:24,"
                eng"
1769068764,2026-01-22 07:59:24,"
            LOGIN"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
              SEARCH"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
                  검색"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
                Popular topics"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
                  # Academic Calendar # Scholarship # library # Tuition # Certificate # Course registration # Dormitory # Graduate # Departments & Programs"
1769068764,2026-01-22 07:59:24,"
              닫기"
1769068764,2026-01-22 07:59:24,"
          #"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
            * About DU"
1769068764,2026-01-22 07:59:24,"
            * Academics"
1769068764,2026-01-22 07:59:24,"
            * Research"
1769068764,2026-01-22 07:59:24,"
            * Admission"
1769068764,2026-01-22 07:59:24,"
            * International"
1769068764,2026-01-22 07:59:24,"
            * Giving to DU"
1769068764,2026-01-22 07:59:24,"
            * News"
1769068764,2026-01-22 07:59:24,"
              * nDRIMS"
1769068764,2026-01-22 07:59:24,"
              * Dream PATH"
1769068764,2026-01-22 07:59:24,"
              * groupware"
1769068764,2026-01-22 07:59:24,"
              * portal"
1769068764,2026-01-22 07:59:24,"
              * webmail"
1769068764,2026-01-22 07:59:24,"
              * sitemap"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
        International"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
              * 홈"
1769068764,2026-01-22 07:59:24,"
              * International"
1769068764,2026-01-22 07:59:24,"
              * Exchange Program"
1769068764,2026-01-22 07:59:24,"
              * Partner University"
1769068764,2026-01-22 07:59:24,"
              * 인쇄"
1769068764,2026-01-22 07:59:24,"
              * 공유"
1769068764,2026-01-22 07:59:24,"
                  페이스북 공유하기 트위터 공유하기"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
          Partner University"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
              * Asia"
1769068764,2026-01-22 07:59:24,"
              * Asia(South-East, Central, Middle)"
1769068764,2026-01-22 07:59:24,"
              * America"
1769068764,2026-01-22 07:59:24,"
              * Africa"
1769068764,2026-01-22 07:59:24,"
              * Europe"
1769068764,2026-01-22 07:59:24,"
              * Oceania"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
          Asia(South-East, Central, Middle)"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
              Country                                                                             University                                    "
1769068764,2026-01-22 07:59:24,"
              Brunei                                                                              Universiti Brunei Darussalam                  "
1769068764,2026-01-22 07:59:24,"
              India                                                                               Amity University Uttar Pradesh                "
1769068764,2026-01-22 07:59:24,"
              Anna University                                                                   "
1769068764,2026-01-22 07:59:24,"
              Christ University                                                                 "
1769068764,2026-01-22 07:59:24,"
              Hindustan University                                                              "
1769068764,2026-01-22 07:59:24,"
              Hyundai Motor India                                                               "
1769068764,2026-01-22 07:59:24,"
              Indian institute of Technology, Bombay(IIT-B)                                     "
1769068764,2026-01-22 07:59:24,"
              Jawaharlal Nehru                                                                  "
1769068764,2026-01-22 07:59:24,"
              KIIT University                                                                   "
1769068764,2026-01-22 07:59:24,"
              Punjab Technical University                                                       "
1769068764,2026-01-22 07:59:24,"
              Rajagiri Center for Business Studies                                              "
1769068764,2026-01-22 07:59:24,"
              Shivaji University                                                                "
1769068764,2026-01-22 07:59:24,"
              SRM University                                                                    "
1769068764,2026-01-22 07:59:24,"
              Institute of Chemical Technology                                                  "
1769068764,2026-01-22 07:59:24,"
              Indonesia                                                                           Binus University                              "
1769068764,2026-01-22 07:59:24,"
              Politeknik TEDC Bandung                                                           "
1769068764,2026-01-22 07:59:24,"
              Universitas Airlangga                                                             "
1769068764,2026-01-22 07:59:24,"
              Universitas Indonesia                                                             "
1769068764,2026-01-22 07:59:24,"
              Kazakhstan                                                                          Al-Farabi Kazakh National University          "
1769068764,2026-01-22 07:59:24,"
              Kazakh National Pedagogical University                                            "
1769068764,2026-01-22 07:59:24,"
              KIMEP University                                                                  "
1769068764,2026-01-22 07:59:24,"
              Kyrgyzstan                                                                          Kyrgyz State National University              "
1769068764,2026-01-22 07:59:24,"
              Lebanon                                                                             The Lebanese University                       "
1769068764,2026-01-22 07:59:24,"
              Laos                                                                                National University of Laos                   "
1769068764,2026-01-22 07:59:24,"
              Malaysia                                                                            Universiti Putra Malaysia                     "
1769068764,2026-01-22 07:59:24,"
              University of Malaya                                                              "
1769068764,2026-01-22 07:59:24,"
              University Technology Malaysia                                                    "
1769068764,2026-01-22 07:59:24,"
              Curtin University Malaysia                                                        "
1769068764,2026-01-22 07:59:24,"
              University of Nottingham, Malaysia                                                "
1769068764,2026-01-22 07:59:24,"
              Mongolia                                                                            Mongolian University of Science and Technology"
1769068764,2026-01-22 07:59:24,"
              National University of Mongolia                                                   "
1769068764,2026-01-22 07:59:24,"
              Mongolian University of Life Sciences                                             "
1769068764,2026-01-22 07:59:24,"
              University of the Humanities, Mongolia                                            "
1769068764,2026-01-22 07:59:24,"
              Nepal                                                                               Lumbini Buddhist University                   "
1769068764,2026-01-22 07:59:24,"
              Singapore                                                                           Singapore Institute of Management             "
1769068764,2026-01-22 07:59:24,"
              Singapore Management University                                                   "
1769068764,2026-01-22 07:59:24,"
              Sri Lanka                                                                           University of Sri Jayewardenepura             "
1769068764,2026-01-22 07:59:24,"
              Oman                                                                                Middle East College                           "
1769068764,2026-01-22 07:59:24,"
              Philippines                                                                         University of Asia and The Pacific            "
1769068764,2026-01-22 07:59:24,"
              University of Cordilleras                                                         "
1769068764,2026-01-22 07:59:24,"
              University of Philipines                                                          "
1769068764,2026-01-22 07:59:24,"
              University of Santo Tomas                                                         "
1769068764,2026-01-22 07:59:24,"
              Sri Lanka                                                                           University of Kelaniya                        "
1769068764,2026-01-22 07:59:24,"
              University of Peradeniya                                                          "
1769068764,2026-01-22 07:59:24,"
              Thailand                                                                            Chiang Mai University                         "
1769068764,2026-01-22 07:59:24,"
              Mahidol University                                                                "
1769068764,2026-01-22 07:59:24,"
              Mahachulalongkornrajavidyalaya University                                         "
1769068764,2026-01-22 07:59:24,"
              Vietnam                                                                             Hanoi University of Technology                "
1769068764,2026-01-22 07:59:24,"
              University of Dalat                                                               "
1769068764,2026-01-22 07:59:24,"
              University of Languages & International Studies Vietnam National University, Hanoi"
1769068764,2026-01-22 07:59:24,"
              Vietnam National University                                                       "
1769068764,2026-01-22 07:59:24,"
              HCMC University of Transport                                                      "
1769068764,2026-01-22 07:59:24,"
              University of Social Sciences and Humanities, VNUHCM                              "
1769068764,2026-01-22 07:59:24,"
              Ton Duc Thang University                                                          "
1769068764,2026-01-22 07:59:24,"
              "
1769068764,2026-01-22 07:59:24,"
              * Department"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
                Office of International Relations"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
              * Contact"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
                +82-2-2260-3483 / incoming@dongguk.edu"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
            * About DU"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
                + Greetings"
1769068764,2026-01-22 07:59:24,"
                + History"
1769068764,2026-01-22 07:59:24,"
                + School Spirit & Symbol"
1769068764,2026-01-22 07:59:24,"
                + Video Clip"
1769068764,2026-01-22 07:59:24,"
                + Contact us"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
            * Academics"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
                + Academics"
1769068764,2026-01-22 07:59:24,"
                + Colleges"
1769068764,2026-01-22 07:59:24,"
                + Graduate Schools"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
            * Admission"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
                + Undergraduates(本科)"
1769068764,2026-01-22 07:59:24,"
                + Graduates(大學院)"
1769068764,2026-01-22 07:59:24,"
                + GKS"
1769068764,2026-01-22 07:59:24,"
                + KGSP-G"
1769068764,2026-01-22 07:59:24,"
                + SRD Scholarship admission"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
            * International"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
                + Office of International Affairs"
1769068764,2026-01-22 07:59:24,"
                + Exchange Program"
1769068764,2026-01-22 07:59:24,"
                + International Summer School"
1769068764,2026-01-22 07:59:24,"
                + International Student Life"
1769068764,2026-01-22 07:59:24,"
                + Korean Language Program"
1769068764,2026-01-22 07:59:24,"
                + Notice(Korean)"
1769068764,2026-01-22 07:59:24,"
                + Student Guide Book"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
            * Giving to DU"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
            * News"
1769068764,2026-01-22 07:59:24,"
"
1769068764,2026-01-22 07:59:24,"
                + Notice"
1769068764,2026-01-22 07:59:24,"
                + News Clipping"
1769068764,2026-01-22 07:59:24,"
                + Dongguk Gallery"
1769068764,2026-01-22 07:59:24,"
              Seoul Campus 30, Pildong-ro 1-gil, Jung-gu, Seoul, 04620, Republic of Korea Tel +82-2-2260-3314 Fax +82-2-2260-2277"
1769068764,2026-01-22 07:59:24,"
              E-mail incoming@dongguk.edu (Exchang Program) scf@dongguk.edu (International Students Services) adm@dongguk.edu (International admission) cscenter@dongguk.edu"
1769068764,2026-01-22 07:59:24,"
              (Certificate Issuance, Education Verification) kic@dongguk.edu (Korean Language Course)"
1769068764,2026-01-22 07:59:24,"
          Copyright(c) 2022 DONGGUK UNIVERSITY. ALL RIGHTS RESERVED."
1773875836,2026-03-18 23:17:16,          popup zone
1773875836,2026-03-18 23:17:16,"
"
1773875836,2026-03-18 23:17:16,"
              * No content"
1773875836,2026-03-18 23:17:16,"
            Do not display again today Close"
1773875836,2026-03-18 23:17:16,"
            popup"
1773875836,2026-03-18 23:17:16,"
            eng"
1773875836,2026-03-18 23:17:16,"
                kor"
1773875836,2026-03-18 23:17:16,"
                eng"
1773875836,2026-03-18 23:17:16,"
            LOGIN"
1773875836,2026-03-18 23:17:16,"
"
1773875836,2026-03-18 23:17:16,"
              SEARCH"
1773875836,2026-03-18 23:17:16,"
"
1773875836,2026-03-18 23:17:16,"
                  검색"
1773875836,2026-03-18 23:17:16,"
"
1773875836,2026-03-18 23:17:16,"
                Popular topics"
1773875836,2026-03-18 23:17:16,"
"
1773875836,2026-03-18 23:17:16,"
                  # Academic Calendar # Scholarship # library # Tuition # Certificate # Course registration # Dormitory # Graduate # Departments & Programs"
1773875836,2026-03-18 23:17:16,"
              닫기"
1773875836,2026-03-18 23:17:16,"
          #"
1773875836,2026-03-18 23:17:16,"
"
1773875836,2026-03-18 23:17:16,"
            * About DU"
1773875836,2026-03-18 23:17:16,"
            * Academics"
1773875836,2026-03-18 23:17:16,"
            * Research"
1773875836,2026-03-18 23:17:16,"
            * Admission"
1773875836,2026-03-18 23:17:16,"
            * International"
1773875836,2026-03-18 23:17:16,"
            * Giving to DU"
1773875836,2026-03-18 23:17:16,"
            * News"
1773875836,2026-03-18 23:17:16,"
              * nDRIMS"
1773875836,2026-03-18 23:17:16,"
              * Dream PATH"
1773875836,2026-03-18 23:17:16,"
              * groupware"
1773875836,2026-03-18 23:17:16,"
              * portal"
1773875836,2026-03-18 23:17:16,"
              * webmail"
1773875836,2026-03-18 23:17:16,"
              * sitemap"
1773875836,2026-03-18 23:17:16,"
"
1773875836,2026-03-18 23:17:16,"
        International"
1773875836,2026-03-18 23:17:16,"
"
1773875836,2026-03-18 23:17:16,"
              * 홈"
1773875836,2026-03-18 23:17:16,"
              * International"
1773875836,2026-03-18 23:17:16,"
              * Exchange Program"
1773875836,2026-03-18 23:17:16,"
              * Partner University"
1773875836,2026-03-18 23:17:16,"
              * 인쇄"
1773875836,2026-03-18 23:17:16,"
              * 공유"
1773875836,2026-03-18 23:17:16,"
                  페이스북 공유하기 트위터 공유하기"
1773875836,2026-03-18 23:17:16,"
"
1773875836,2026-03-18 23:17:16,"
          Partner University"
1773875836,2026-03-18 23:17:16,"
"
1773875836,2026-03-18 23:17:16,"
              * Asia"
