Epoch seconds,Date
1769068743,2026-01-22 07:59:03,          popup zone
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              * No content"
1769068743,2026-01-22 07:59:03,"
            Do not display again today Close"
1769068743,2026-01-22 07:59:03,"
            popup"
1769068743,2026-01-22 07:59:03,"
            eng"
1769068743,2026-01-22 07:59:03,"
                kor"
1769068743,2026-01-22 07:59:03,"
                eng"
1769068743,2026-01-22 07:59:03,"
            LOGIN"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              SEARCH"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                  검색"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                Popular topics"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                  # Academic Calendar # Scholarship # library # Tuition # Certificate # Course registration # Dormitory # Graduate # Departments & Programs"
1769068743,2026-01-22 07:59:03,"
              닫기"
1769068743,2026-01-22 07:59:03,"
          #"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
            * About DU"
1769068743,2026-01-22 07:59:03,"
            * Academics"
1769068743,2026-01-22 07:59:03,"
            * Research"
1769068743,2026-01-22 07:59:03,"
            * Admission"
1769068743,2026-01-22 07:59:03,"
            * International"
1769068743,2026-01-22 07:59:03,"
            * Giving to DU"
1769068743,2026-01-22 07:59:03,"
            * News"
1769068743,2026-01-22 07:59:03,"
              * nDRIMS"
1769068743,2026-01-22 07:59:03,"
              * Dream PATH"
1769068743,2026-01-22 07:59:03,"
              * groupware"
1769068743,2026-01-22 07:59:03,"
              * portal"
1769068743,2026-01-22 07:59:03,"
              * webmail"
1769068743,2026-01-22 07:59:03,"
              * sitemap"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
        International"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              * 홈"
1769068743,2026-01-22 07:59:03,"
              * International"
1769068743,2026-01-22 07:59:03,"
              * Exchange Program"
1769068743,2026-01-22 07:59:03,"
              * Partner University"
1769068743,2026-01-22 07:59:03,"
              * 인쇄"
1769068743,2026-01-22 07:59:03,"
              * 공유"
1769068743,2026-01-22 07:59:03,"
                  페이스북 공유하기 트위터 공유하기"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
          Partner University"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              * Asia"
1769068743,2026-01-22 07:59:03,"
              * Asia(South-East, Central, Middle)"
1769068743,2026-01-22 07:59:03,"
              * America"
1769068743,2026-01-22 07:59:03,"
              * Africa"
1769068743,2026-01-22 07:59:03,"
              * Europe"
1769068743,2026-01-22 07:59:03,"
              * Oceania"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
          Chinese-speaking Region"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              University                                             "
1769068743,2026-01-22 07:59:03,"
              Beijing Foreign Studies University                     "
1769068743,2026-01-22 07:59:03,"
              Beijing Jiaotong University                            "
1769068743,2026-01-22 07:59:03,"
              Beijing Language and Culture University                "
1769068743,2026-01-22 07:59:03,"
              Beijing Radio and Television Univ.                     "
1769068743,2026-01-22 07:59:03,"
              Beijing University of Chinese Medicine                 "
1769068743,2026-01-22 07:59:03,"
              Beijing University of Posts and Telecommunications     "
1769068743,2026-01-22 07:59:03,"
              Central China Normal University                        "
1769068743,2026-01-22 07:59:03,"
              Chong Qing University                                  "
1769068743,2026-01-22 07:59:03,"
              Donghua University                                     "
1769068743,2026-01-22 07:59:03,"
              East China Normal University                           "
1769068743,2026-01-22 07:59:03,"
              Harbin Engineering University                          "
1769068743,2026-01-22 07:59:03,"
              Harbin Institute of Technology Shenzhen Graduate School"
1769068743,2026-01-22 07:59:03,"
              Henan University                                       "
1769068743,2026-01-22 07:59:03,"
              Hubei University                                       "
1769068743,2026-01-22 07:59:03,"
              Jiangxi Normal University                              "
1769068743,2026-01-22 07:59:03,"
              Jilin University                                       "
1769068743,2026-01-22 07:59:03,"
              Nanjing University                                     "
1769068743,2026-01-22 07:59:03,"
              Ningbo University                                      "
1769068743,2026-01-22 07:59:03,"
              Northeast Normal University                            "
1769068743,2026-01-22 07:59:03,"
              Northwest University                                   "
1769068743,2026-01-22 07:59:03,"
              Northwestern Polytechnical University                  "
1769068743,2026-01-22 07:59:03,"
              Ocean University of China                              "
1769068743,2026-01-22 07:59:03,"
              Peking University                                      "
1769068743,2026-01-22 07:59:03,"
              Renmin University of China                             "
1769068743,2026-01-22 07:59:03,"
              Shaanxi Normal University                              "
1769068743,2026-01-22 07:59:03,"
              Shanghai International Studies University              "
1769068743,2026-01-22 07:59:03,"
              Shanghai Normal University                             "
1769068743,2026-01-22 07:59:03,"
              Shanghai University                                    "
1769068743,2026-01-22 07:59:03,"
              Shanghai University of Traditional Chinese Medicine    "
1769068743,2026-01-22 07:59:03,"
              Sichuan Normal University                              "
1769068743,2026-01-22 07:59:03,"
              Sichuan University                                     "
1769068743,2026-01-22 07:59:03,"
              Sun Yat-sen University                                 "
1769068743,2026-01-22 07:59:03,"
              The Central Academy of Drama                           "
1769068743,2026-01-22 07:59:03,"
              Tianjin University                                     "
1769068743,2026-01-22 07:59:03,"
              Tianjin University of Finance and Economics            "
1769068743,2026-01-22 07:59:03,"
              Tsinghua University                                    "
1769068743,2026-01-22 07:59:03,"
              Wuhan University                                       "
1769068743,2026-01-22 07:59:03,"
              Yanbian University                                     "
1769068743,2026-01-22 07:59:03,"
              Yangzhou University                                    "
1769068743,2026-01-22 07:59:03,"
              Zhejiang University                                    "
1769068743,2026-01-22 07:59:03,"
              Zhongnan University of Economics and Law               "
1769068743,2026-01-22 07:59:03,"
              Zhuhai College of Jilin University                     "
1769068743,2026-01-22 07:59:03,"
              Shanghai University                                    "
1769068743,2026-01-22 07:59:03,"
              Sichuan Normal University                              "
1769068743,2026-01-22 07:59:03,"
              Chong Qing University                                  "
1769068743,2026-01-22 07:59:03,"
              Shanghai University of Finance & Economics             "
1769068743,2026-01-22 07:59:03,"
              Beijing Institute of Techonology                       "
1769068743,2026-01-22 07:59:03,"
              North China University of Technology                   "
1769068743,2026-01-22 07:59:03,"
              Beijing University of Chemical Technology              "
1769068743,2026-01-22 07:59:03,"
              Shantou University                                     "
1769068743,2026-01-22 07:59:03,"
              China Medical University                               "
1769068743,2026-01-22 07:59:03,"
              Chinese Culture University                             "
1769068743,2026-01-22 07:59:03,"
              Dharma Drum Buddhist College                           "
1769068743,2026-01-22 07:59:03,"
              Feng Chia University                                   "
1769068743,2026-01-22 07:59:03,"
              Fo Guang University                                    "
1769068743,2026-01-22 07:59:03,"
              Nanhua University                                      "
1769068743,2026-01-22 07:59:03,"
              National Central University                            "
1769068743,2026-01-22 07:59:03,"
              National Cheng Kung University                         "
1769068743,2026-01-22 07:59:03,"
              National Chengchi University                           "
1769068743,2026-01-22 07:59:03,"
              National Taipei University                             "
1769068743,2026-01-22 07:59:03,"
              National Taipei University of Technology               "
1769068743,2026-01-22 07:59:03,"
              National Taiwan Normal University                      "
1769068743,2026-01-22 07:59:03,"
              National Taiwan University                             "
1769068743,2026-01-22 07:59:03,"
              Shih Chien University                                  "
1769068743,2026-01-22 07:59:03,"
              Tatung University                                      "
1769068743,2026-01-22 07:59:03,"
              Tzu Chi University                                     "
1769068743,2026-01-22 07:59:03,"
              Chung Yuan Christian University                        "
1769068743,2026-01-22 07:59:03,"
              Southern Taiwan University of Science and Technology   "
1769068743,2026-01-22 07:59:03,"
              National Taiwan University                             "
1769068743,2026-01-22 07:59:03,"
              National University of Kaohsiung                       "
1769068743,2026-01-22 07:59:03,"
              Asia University                                        "
1769068743,2026-01-22 07:59:03,"
              University of Taipei                                   "
1769068743,2026-01-22 07:59:03,"
              Lingnan University                                     "
1769068743,2026-01-22 07:59:03,"
              The Hong Kong Institute of Education                   "
1769068743,2026-01-22 07:59:03,"
              "
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              Japan"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                University                            "
1769068743,2026-01-22 07:59:03,"
                Aichi Gakuin University               "
1769068743,2026-01-22 07:59:03,"
                Bukkyo University                     "
1769068743,2026-01-22 07:59:03,"
                Gakushuin University                  "
1769068743,2026-01-22 07:59:03,"
                Hanazono University                   "
1769068743,2026-01-22 07:59:03,"
                Hannan University                     "
1769068743,2026-01-22 07:59:03,"
                Hokuriku University                   "
1769068743,2026-01-22 07:59:03,"
                Kansai University                     "
1769068743,2026-01-22 07:59:03,"
                Kochi University                      "
1769068743,2026-01-22 07:59:03,"
                Komazawa University                   "
1769068743,2026-01-22 07:59:03,"
                Kwansei Gakuin University             "
1769068743,2026-01-22 07:59:03,"
                Kyushu Sangyo University              "
1769068743,2026-01-22 07:59:03,"
                Kyushu University                     "
1769068743,2026-01-22 07:59:03,"
                Meijo University                      "
1769068743,2026-01-22 07:59:03,"
                Mejiro University                     "
1769068743,2026-01-22 07:59:03,"
                Mie University                        "
1769068743,2026-01-22 07:59:03,"
                Musashino University                  "
1769068743,2026-01-22 07:59:03,"
                Nagasaki University                   "
1769068743,2026-01-22 07:59:03,"
                Nihon University                      "
1769068743,2026-01-22 07:59:03,"
                Otani University                      "
1769068743,2026-01-22 07:59:03,"
                Rissho University                     "
1769068743,2026-01-22 07:59:03,"
                Ritsumeikan Asia Pacific University   "
1769068743,2026-01-22 07:59:03,"
                Ritsumeikan University                "
1769068743,2026-01-22 07:59:03,"
                Ryukoku University                    "
1769068743,2026-01-22 07:59:03,"
                Saitama University                    "
1769068743,2026-01-22 07:59:03,"
                Sapporo Gakuin University             "
1769068743,2026-01-22 07:59:03,"
                Shukutoku University                  "
1769068743,2026-01-22 07:59:03,"
                Taisho University                     "
1769068743,2026-01-22 07:59:03,"
                Tohoku University                     "
1769068743,2026-01-22 07:59:03,"
                Toyo University                       "
1769068743,2026-01-22 07:59:03,"
                Nagasaki University of Foreign Studies"
1769068743,2026-01-22 07:59:03,"
                Niigata University                    "
1769068743,2026-01-22 07:59:03,"
                Seinan Gakuin University              "
1769068743,2026-01-22 07:59:03,"
                Shizuoka University                   "
1769068743,2026-01-22 07:59:03,"
                Tenri University                      "
1769068743,2026-01-22 07:59:03,"
                Tokushima University                  "
1769068743,2026-01-22 07:59:03,"
                Tokyo University of Foreign Studies   "
1769068743,2026-01-22 07:59:03,"
                University of Fukui                   "
1769068743,2026-01-22 07:59:03,"
                "
1769068743,2026-01-22 07:59:03,"
                * Department"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                  Office of International Relations"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                * Contact"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                  +82-2-2260-3483 / incoming@dongguk.edu"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              * About DU"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                  + Greetings"
1769068743,2026-01-22 07:59:03,"
                  + History"
1769068743,2026-01-22 07:59:03,"
                  + School Spirit & Symbol"
1769068743,2026-01-22 07:59:03,"
                  + Video Clip"
1769068743,2026-01-22 07:59:03,"
                  + Contact us"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              * Academics"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                  + Academics"
1769068743,2026-01-22 07:59:03,"
                  + Colleges"
1769068743,2026-01-22 07:59:03,"
                  + Graduate Schools"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              * Admission"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                  + Undergraduates(本科)"
1769068743,2026-01-22 07:59:03,"
                  + Graduates(大學院)"
1769068743,2026-01-22 07:59:03,"
                  + GKS"
1769068743,2026-01-22 07:59:03,"
                  + KGSP-G"
1769068743,2026-01-22 07:59:03,"
                  + SRD Scholarship admission"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              * International"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                  + Office of International Affairs"
1769068743,2026-01-22 07:59:03,"
                  + Exchange Program"
1769068743,2026-01-22 07:59:03,"
                  + International Summer School"
1769068743,2026-01-22 07:59:03,"
                  + International Student Life"
1769068743,2026-01-22 07:59:03,"
                  + Korean Language Program"
1769068743,2026-01-22 07:59:03,"
                  + Notice(Korean)"
1769068743,2026-01-22 07:59:03,"
                  + Student Guide Book"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              * Giving to DU"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
              * News"
1769068743,2026-01-22 07:59:03,"
"
1769068743,2026-01-22 07:59:03,"
                  + Notice"
1769068743,2026-01-22 07:59:03,"
                  + News Clipping"
1769068743,2026-01-22 07:59:03,"
                  + Dongguk Gallery"
1769068743,2026-01-22 07:59:03,"
                Seoul Campus 30, Pildong-ro 1-gil, Jung-gu, Seoul, 04620, Republic of Korea Tel +82-2-2260-3314 Fax +82-2-2260-2277"
1769068743,2026-01-22 07:59:03,"
                E-mail incoming@dongguk.edu (Exchang Program) scf@dongguk.edu (International Students Services) adm@dongguk.edu (International admission) cscenter@dongguk.edu"
1769068743,2026-01-22 07:59:03,"
                (Certificate Issuance, Education Verification) kic@dongguk.edu (Korean Language Course)"
1769068743,2026-01-22 07:59:03,"
            Copyright(c) 2022 DONGGUK UNIVERSITY. ALL RIGHTS RESERVED."
1773875835,2026-03-18 23:17:15,          popup zone
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
              * No content"
1773875835,2026-03-18 23:17:15,"
            Do not display again today Close"
1773875835,2026-03-18 23:17:15,"
            popup"
1773875835,2026-03-18 23:17:15,"
            eng"
1773875835,2026-03-18 23:17:15,"
                kor"
1773875835,2026-03-18 23:17:15,"
                eng"
1773875835,2026-03-18 23:17:15,"
            LOGIN"
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
              SEARCH"
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
                  검색"
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
                Popular topics"
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
                  # Academic Calendar # Scholarship # library # Tuition # Certificate # Course registration # Dormitory # Graduate # Departments & Programs"
1773875835,2026-03-18 23:17:15,"
              닫기"
1773875835,2026-03-18 23:17:15,"
          #"
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
            * About DU"
1773875835,2026-03-18 23:17:15,"
            * Academics"
1773875835,2026-03-18 23:17:15,"
            * Research"
1773875835,2026-03-18 23:17:15,"
            * Admission"
1773875835,2026-03-18 23:17:15,"
            * International"
1773875835,2026-03-18 23:17:15,"
            * Giving to DU"
1773875835,2026-03-18 23:17:15,"
            * News"
1773875835,2026-03-18 23:17:15,"
              * nDRIMS"
1773875835,2026-03-18 23:17:15,"
              * Dream PATH"
1773875835,2026-03-18 23:17:15,"
              * groupware"
1773875835,2026-03-18 23:17:15,"
              * portal"
1773875835,2026-03-18 23:17:15,"
              * webmail"
1773875835,2026-03-18 23:17:15,"
              * sitemap"
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
        International"
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
              * 홈"
1773875835,2026-03-18 23:17:15,"
              * International"
1773875835,2026-03-18 23:17:15,"
              * Exchange Program"
1773875835,2026-03-18 23:17:15,"
              * Partner University"
1773875835,2026-03-18 23:17:15,"
              * 인쇄"
1773875835,2026-03-18 23:17:15,"
              * 공유"
1773875835,2026-03-18 23:17:15,"
                  페이스북 공유하기 트위터 공유하기"
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
          Partner University"
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
              * Asia"
1773875835,2026-03-18 23:17:15,"
              * Asia(South-East, Central, Middle)"
1773875835,2026-03-18 23:17:15,"
              * America"
1773875835,2026-03-18 23:17:15,"
              * Africa"
1773875835,2026-03-18 23:17:15,"
              * Europe"
1773875835,2026-03-18 23:17:15,"
              * Oceania"
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
          Chinese-speaking Region"
1773875835,2026-03-18 23:17:15,"
"
1773875835,2026-03-18 23:17:15,"
              University                                             "
1773875835,2026-03-18 23:17:15,"
              Beijing Foreign Studies University                     "
1773875835,2026-03-18 23:17:15,"
              Beijing Jiaotong University                            "
1773875835,2026-03-18 23:17:15,"
              Beijing Language and Culture University                "
1773875835,2026-03-18 23:17:15,"
              Beijing Radio and Television Univ.                     "
1773875835,2026-03-18 23:17:15,"
              Beijing University of Chinese Medicine                 "
1773875835,2026-03-18 23:17:15,"
              Beijing University of Posts and Telecommunications     "
1773875835,2026-03-18 23:17:15,"
              Central China Normal University                        "
1773875835,2026-03-18 23:17:15,"
              Chong Qing University                                  "
1773875835,2026-03-18 23:17:15,"
              Donghua University                                     "
1773875835,2026-03-18 23:17:15,"
              East China Normal University                           "
1773875835,2026-03-18 23:17:15,"
              Harbin Engineering University                          "
1773875835,2026-03-18 23:17:15,"
              Harbin Institute of Technology Shenzhen Graduate School"
1773875835,2026-03-18 23:17:15,"
              Henan University                                       "
1773875835,2026-03-18 23:17:15,"
              Hubei University                                       "
1773875835,2026-03-18 23:17:15,"
              Jiangxi Normal University                              "
1773875835,2026-03-18 23:17:15,"
              Jilin University                                       "
1773875835,2026-03-18 23:17:15,"
              Nanjing University                                     "
1773875835,2026-03-18 23:17:15,"
              Ningbo University                                      "
1773875835,2026-03-18 23:17:15,"
              Northeast Normal University                            "
1773875835,2026-03-18 23:17:15,"
              Northwest University                                   "
1773875835,2026-03-18 23:17:15,"
              Northwestern Polytechnical University                  "
1773875835,2026-03-18 23:17:15,"
              Ocean University of China                              "
1773875835,2026-03-18 23:17:15,"
              Peking University                                      "
1773875835,2026-03-18 23:17:15,"
              Renmin University of China                             "
1773875835,2026-03-18 23:17:15,"
              Shaanxi Normal University                              "
1773875835,2026-03-18 23:17:15,"
              Shanghai International Studies University              "
1773875835,2026-03-18 23:17:15,"
              Shanghai Normal University                             "
1773875835,2026-03-18 23:17:15,"
              Shanghai University                                    "
1773875835,2026-03-18 23:17:15,"
              Shanghai University of Traditional Chinese Medicine    "
1773875835,2026-03-18 23:17:15,"
              Sichuan Normal University                              "
1773875835,2026-03-18 23:17:15,"
              Sichuan University                                     "
1773875835,2026-03-18 23:17:15,"
              Sun Yat-sen University                                 "
1773875835,2026-03-18 23:17:15,"
              The Central Academy of Drama                           "
1773875835,2026-03-18 23:17:15,"
              Tianjin University                                     "
1773875835,2026-03-18 23:17:15,"
              Tianjin University of Finance and Economics            "
1773875835,2026-03-18 23:17:15,"
              Tsinghua University                                    "
1773875835,2026-03-18 23:17:15,"
              Wuhan University                                       "
1773875835,2026-03-18 23:17:15,"
              Yanbian University                                     "
1773875835,2026-03-18 23:17:15,"
              Yangzhou University                                    "
1773875835,2026-03-18 23:17:15,"
              Zhejiang University                                    "
1773875835,2026-03-18 23:17:15,"
              Zhongnan University of Economics and Law               "
1773875835,2026-03-18 23:17:15,"
              Zhuhai College of Jilin University                     "
1773875835,2026-03-18 23:17:15,"
              Shanghai University                                    "
1773875835,2026-03-18 23:17:15,"
              Sichuan Normal University                              "
1773875835,2026-03-18 23:17:15,"
              Chong Qing University                                  "
1773875835,2026-03-18 23:17:15,"
              Shanghai University of Finance & Economics             "
1773875835,2026-03-18 23:17:15,"
              Beijing Institute of Techonology                       "
1773875835,2026-03-18 23:17:15,"
              North China University of Technology                   "
1773875835,2026-03-18 23:17:15,"
              Beijing University of Chemical Technology              "
