Epoch seconds,Date
1769068832,2026-01-22 08:00:32,          popup zone
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
              * No content"
1769068832,2026-01-22 08:00:32,"
            Do not display again today Close"
1769068832,2026-01-22 08:00:32,"
            popup"
1769068832,2026-01-22 08:00:32,"
            eng"
1769068832,2026-01-22 08:00:32,"
                kor"
1769068832,2026-01-22 08:00:32,"
                eng"
1769068832,2026-01-22 08:00:32,"
            LOGIN"
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
              SEARCH"
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
                  검색"
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
                Popular topics"
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
                  # Academic Calendar # Scholarship # library # Tuition # Certificate # Course registration # Dormitory # Graduate # Departments & Programs"
1769068832,2026-01-22 08:00:32,"
              닫기"
1769068832,2026-01-22 08:00:32,"
          #"
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
            * About DU"
1769068832,2026-01-22 08:00:32,"
            * Academics"
1769068832,2026-01-22 08:00:32,"
            * Research"
1769068832,2026-01-22 08:00:32,"
            * Admission"
1769068832,2026-01-22 08:00:32,"
            * International"
1769068832,2026-01-22 08:00:32,"
            * Giving to DU"
1769068832,2026-01-22 08:00:32,"
            * News"
1769068832,2026-01-22 08:00:32,"
              * nDRIMS"
1769068832,2026-01-22 08:00:32,"
              * Dream PATH"
1769068832,2026-01-22 08:00:32,"
              * groupware"
1769068832,2026-01-22 08:00:32,"
              * portal"
1769068832,2026-01-22 08:00:32,"
              * webmail"
1769068832,2026-01-22 08:00:32,"
              * sitemap"
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
        International"
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
              * 홈"
1769068832,2026-01-22 08:00:32,"
              * International"
1769068832,2026-01-22 08:00:32,"
              * Exchange Program"
1769068832,2026-01-22 08:00:32,"
              * Partner University"
1769068832,2026-01-22 08:00:32,"
              * 인쇄"
1769068832,2026-01-22 08:00:32,"
              * 공유"
1769068832,2026-01-22 08:00:32,"
                  페이스북 공유하기 트위터 공유하기"
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
          Partner University"
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
              * Asia"
1769068832,2026-01-22 08:00:32,"
              * Asia(South-East, Central, Middle)"
1769068832,2026-01-22 08:00:32,"
              * America"
1769068832,2026-01-22 08:00:32,"
              * Africa"
1769068832,2026-01-22 08:00:32,"
              * Europe"
1769068832,2026-01-22 08:00:32,"
              * Oceania"
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
          Europe"
1769068832,2026-01-22 08:00:32,"
"
1769068832,2026-01-22 08:00:32,"
              Country                                                     University                                           "
1769068832,2026-01-22 08:00:32,"
              Austria                                                     University of Salzburg                               "
1769068832,2026-01-22 08:00:32,"
              University of Vienna                                      "
